Note_Id;Note
1;c'
2;d'
3;f'
4;g'
5;ais'
6;b'
7;c'
8;ees''
9;e''
10;dis''
11;a'
12;a'
13;a'
14;a''
15;g''
16;f'
17;d'
18;c'
19;eis''
20;b'
21;ces''
22;f''
23;f'
24;g'
25;g'
26;a'
27;e'
28;f''
29;e''
30;d''
31;c''
32;d''
33;e''
34;f''
35;g''
36;a''
37;b''
38;b
39;c'
40;d'
41;e'
42;f'
43;e'
44;dis'
45;c'
46;a'
47;bis'
48;b'
49;e''
50;d'
51;g'
52;des'
53;f'
54;e'
55;c'
56;c''
57;c'''
58;bis''
59;a''
60;e'
61;f'
62;a''
63;b''
64;c'''
65;c'''
66;cis'''
67;b''
68;bes''
69;f'
70;fis'
71;ces'
72;cis''
73;f''
74;fes''
75;fes''
76;f''
77;e''
78;b'
79;b'
80;b'
81;bes'
82;gis'
83;ais'
84;bis'
85;gis''
86;ees'
87;ees'
88;d''
89;c''
90;dis''
91;a'
92;cis'
93;e''
94;f''
95;f''
96;ces''
97;a'
98;g'
99;gis'
